"","experiment","site","plot","date","co2.e.kghyr"
"325","ATAT","r100","1404","2022-09-08",26349.4830136944
"326","ATAT","r100","1404","2022-09-15",20713.9832954757
"327","ATAT","r100","1404","2022-09-27",10367.5736308869
"328","ATAT","r100","1404","2022-10-11",13047.5158107993
"329","ATAT","r100","1404","2022-10-27",2860.93810205307
"330","atat","r100","1404","2023-05-17",9698.18035346652
"331","atat","r100","1404","2023-06-01",28563.5943375598
"332","atat","R100","1404","2023-06-15",39957.0130694162
"333","atat","r100","1404","2023-06-28",3919.78909092014
"334","atat","r100","1404","2023-07-11",7472.73716789663
"335","atat","r100","1404","2023-07-25",22127.2730124559
"336","atat","r100","1404","2023-08-08",1467.71773217562
"337","atat","r100","1404","2023-08-21",5353.14175970751
"338","ATAT","r100","1405","2022-09-27",9887.1686152378
"339","ATAT","r100","1405","2022-10-11",10871.569436286
"340","ATAT","r100","1405","2022-10-27",1551.50917081468
"341","atat","r100","1405","2023-06-01",6304.43852596408
"342","atat","R100","1405","2023-06-15",7429.41558192446
"343","atat","r100","1405","2023-06-28",3213.9602185257
"344","atat","r100","1405","2023-07-11",3266.61117405084
"345","atat","r100","1405","2023-07-25",9381.18702611287
"346","atat","r100","1405","2023-08-08",906.333192752374
"347","atat","r100","1405","2023-08-21",4494.80446408729
"348","ATAT","r100","1406","2022-09-27",2159.80975591367
"349","ATAT","r100","1406","2022-10-11",4042.11372826074
"350","ATAT","r100","1406","2022-10-27",-82.9012050667737
"351","atat","r100","1406","2023-05-17",7578.45541360135
"352","atat","r100","1406","2023-06-01",8284.49157177041
"353","atat","R100","1406","2023-06-15",2244.66606473337
"354","atat","r100","1406","2023-06-28",8144.18325905419
"355","atat","r100","1406","2023-07-11",7094.57154174193
"356","atat","r100","1406","2023-07-25",25536.5102603381
"357","atat","r100","1406","2023-08-08",5150.28870147039
"358","atat","r100","1406","2023-08-21",6414.59704131406
"359","atat","r100","1407","2023-05-16",1498.68586618885
"360","atat","r100","1407","2023-06-01",8629.23830787606
"361","atat","R100","1407","2023-06-15",3987.40868836304
"362","atat","r100","1407","2023-06-28",10537.7058989316
"363","atat","r100","1407","2023-07-11",7604.01623946367
"364","atat","r100","1407","2023-07-25",16991.8794473943
"365","atat","r100","1407","2023-08-08",5394.76027910671
"366","atat","r100","1407","2023-08-21",5851.10843502909
"367","ATAT","r100","1408","2022-09-02",7741.71885190591
"368","ATAT","r100","1408","2022-09-08",11411.0467706321
"369","ATAT","r100","1408","2022-09-15",8553.93297977293
"370","ATAT","r100","1408","2022-09-27",12672.6780922665
"371","ATAT","r100","1408","2022-10-11",1949.78825489106
"372","ATAT","r100","1408","2022-10-27",-808.118251015546
"373","atat","r100","1408","2023-05-17",2342.80207678534
"374","atat","r100","1408","2023-06-01",3385.18956617252
"375","atat","R100","1408","2023-06-15",4121.91302749081
"376","atat","r100","1408","2023-06-28",7906.57657873531
"377","atat","r100","1408","2023-07-11",7592.69365268308
"378","atat","r100","1408","2023-07-25",21325.0337219095
"379","atat","r100","1408","2023-08-08",1785.82325992363
"380","atat","r100","1408","2023-08-21",3996.83778876565
"381","atat","r100","1409","2023-05-17",3816.3906294301
"382","atat","r100","1409","2023-06-01",2420.11142985465
"383","atat","R100","1409","2023-06-15",4040.14225336256
"384","atat","r100","1409","2023-06-28",-1777.16629522033
"385","atat","r100","1409","2023-07-11",11647.8823080934
"386","atat","r100","1409","2023-07-25",10929.3208704389
"387","atat","r100","1409","2023-08-08",1916.8273718493
"388","atat","r100","1409","2023-08-21",6958.42906831001
"389","ATAT","r100","1410","2022-09-27",11201.0322988079
"390","ATAT","r100","1410","2022-10-11",4596.47940970643
"391","ATAT","r100","1410","2022-10-27",2003.84829663429
"392","atat","r100","1410","2023-05-17",2220.56892495301
"393","atat","r100","1410","2023-06-01",6363.65661153816
"394","atat","R100","1410","2023-06-15",5649.88790691431
"395","atat","r100","1410","2023-06-28",5223.70005472334
"396","atat","r100","1410","2023-07-11",8484.33422845642
"397","atat","r100","1410","2023-07-25",17731.215859218
"398","atat","r100","1410","2023-08-08",4020.66179121599
"399","atat","r100","1410","2023-08-21",12357.436179692
"400","eddyfluedddyflux","v08","1","2022-05-05",7002.30132001034
"401","eddyfluedddyflux","v08","13","2022-05-05",1880.46527644215
"402","eddyfluedddyflux","v08","14","2022-05-05",278.419956951346
"403","eddyfluedddyflux","v08","19","2022-05-05",7028.40623035616
"404","eddyfluedddyflux","v08","20","2022-05-05",3835.87663274245
"405","eddyfluedddyflux","v08","25","2022-05-05",740.189641650947
"406","eddyfluedddyflux","v08","28","2022-05-05",2193.87615584927
"407","eddyfluedddyflux","v08","29","2022-05-05",3560.44897185055
